actual,proposed
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.08627808094024658,-0.013908106833696365
-0.10249559581279755,-0.02684694528579712
-0.13289155066013336,-0.050723470747470856
-0.15489612519741058,-0.09300512075424194
-0.19743956625461578,-0.1420818567276001
-0.22470109164714813,-0.22470109164714813
-0.26237788796424866,-0.24574369192123413
-0.2832871675491333,-0.2794855535030365
-0.3195180892944336,-0.3195180892944336
-0.26082804799079895,-0.26082804799079895
-0.23729458451271057,-0.23807501792907715
-0.19525088369846344,-0.19796237349510193
-0.17829221487045288,-0.18025128543376923
-0.13947650790214539,-0.14057038724422455
-0.14579643309116364,-0.14639148116111755
-0.13456450402736664,-0.13456450402736664
-0.16370889544487,-0.16178306937217712
-0.18127115070819855,-0.17738714814186096
-0.2387094646692276,-0.23199686408042908
-0.25208231806755066,-0.2465582638978958
-0.29811280965805054,-0.2915705740451813
-0.3100423514842987,-0.30518847703933716
-0.3249899446964264,-0.3242836594581604
-0.37639978528022766,-0.3755992650985718
-0.2501375377178192,-0.2512248754501343
-0.22436940670013428,-0.2457880973815918
-0.24369306862354279,-0.21837379038333893
-0.2217925488948822,-0.2397722601890564
-0.19730335474014282,-0.21918973326683044
-0.19589421153068542,-0.1963639259338379
-0.22640256583690643,-0.22533227503299713
-0.20490878820419312,-0.20395585894584656
-0.21710340678691864,-0.216605544090271
-0.16081315279006958,-0.16044935584068298
-0.18075689673423767,-0.18035165965557098
-0.14432071149349213,-0.14336711168289185
-0.1527549922466278,-0.15144950151443481
-0.14890159666538239,-0.14740370213985443
-0.16102536022663116,-0.1586131751537323
-0.2249443084001541,-0.2222062647342682
-0.28391605615615845,-0.28113776445388794
-0.3112974762916565,-0.3088887631893158
-0.2419806867837906,-0.24125847220420837
-0.2467184215784073,-0.24635188281536102
-0.2950763702392578,-0.24818451702594757
-0.33092692494392395,-0.29333341121673584
-0.37093740701675415,-0.33190858364105225
-0.38925623893737793,-0.3736717700958252
-0.34304556250572205,-0.34304556250572205
-0.3729480504989624,-0.3729480504989624
-0.3600171208381653,-0.3589903712272644
-0.37578198313713074,-0.37420374155044556
-0.4429948329925537,-0.44118040800094604
-0.4263843595981598,-0.4246774911880493
-0.48115232586860657,-0.4786545932292938
-0.5497400164604187,-0.5462813377380371
-0.6062847375869751,-0.6025874018669128
-0.6694796681404114,-0.6655048131942749
-0.7793336510658264,-0.7748317718505859
